flirtInterests_chat,flirtInterests_friends,flirtInterests_date,lastOnlineDate,LastOnlineTime,userId
TRUE,TRUE,TRUE,2015-04-25,20:43:26,55303fc3160ba0eb728b4575
TRUE,TRUE,TRUE,2015-04-26,9:19:35,552e7b61c66da10d1e8b4c82
FALSE,FALSE,TRUE,2015-04-06,14:24:07,54a584ecc56da128638b4674
TRUE,TRUE,FALSE,2015-04-07,11:21:01,54c92738076ea1b5338b4735
TRUE,FALSE,FALSE,2015-04-06,14:25:20,54e1a6f6c76da135748b4a3a
TRUE,FALSE,TRUE,2015-04-08,14:37:51,54f2b4ce0b6ea1177e8b4d18
FALSE,TRUE,FALSE,2015-04-27,19:29:58,54ecbb39170ba08b488b4aa5
TRUE,FALSE,TRUE,2015-04-08,14:18:11,54fc1786170ba041758b4577
TRUE,TRUE,TRUE,2015-04-07,20:01:55,550c8310066ea13f808b4b35
TRUE,TRUE,TRUE,2015-04-06,16:10:49,53745af3150ba023158b4588
TRUE,TRUE,FALSE,2015-04-26,11:23:41,53eb2d41ea6da1bb178b4aa0
TRUE,TRUE,FALSE,2015-04-08,14:34:25,5501ff6bcc6da1e21e8b45b5
TRUE,FALSE,FALSE,2015-04-06,14:52:17,54fa217d190ba0a1618b4668
TRUE,TRUE,TRUE,2015-04-26,10:04:30,54ce9b6d170ba0c7548b4bef
FALSE,FALSE,TRUE,2015-04-08,14:49:55,500aef252d15de2d6f00046e
FALSE,TRUE,TRUE,2015-04-26,17:19:17,54e238cdcb6da1706f8b4b44
TRUE,FALSE,TRUE,2015-04-06,14:57:34,53d7e6c8170ba055398b54ea
TRUE,TRUE,TRUE,2015-04-25,4:36:43,552e5bbd066ea1933e8b490b
TRUE,FALSE,FALSE,2015-04-26,10:26:08,55146fb7ea6da11d158b463a
TRUE,FALSE,TRUE,2015-04-25,18:11:13,503cbfc7ca61bea1590000bf
TRUE,FALSE,FALSE,2015-04-26,8:07:07,52dd7bd9c56da1966f61cfd3
TRUE,TRUE,TRUE,2015-04-08,15:09:19,550f31ca1c0ba0785b8b4a90
TRUE,TRUE,TRUE,2015-04-25,21:35:40,550db26a086ea18e4f8b4678
TRUE,FALSE,FALSE,2015-04-06,18:52:15,54b8170ae96da129508b4b1a
TRUE,FALSE,FALSE,2015-04-07,20:21:17,525aaeb8190ba0d743a9b637
TRUE,TRUE,TRUE,2015-04-25,13:18:14,54ad5e03190ba0cb108b45d0
TRUE,TRUE,FALSE,2015-04-26,11:50:47,55336759076ea11d208b483c
TRUE,TRUE,TRUE,2015-04-06,11:59:59,5411f8c8180ba0184a8b4aac
TRUE,TRUE,TRUE,2015-04-26,8:18:01,552aa2c1ea6da1bd358b4851
FALSE,FALSE,TRUE,2015-04-08,15:09:04,550c6869160ba0f7318b4771
TRUE,FALSE,FALSE,2015-04-08,10:38:36,552025c01c0ba01e1b8b4588
FALSE,FALSE,TRUE,2015-04-08,15:14:36,5465e30f170ba051228b4c6b
FALSE,TRUE,TRUE,2015-04-07,20:11:54,5522e5cfca6da1791c8b4688
TRUE,FALSE,TRUE,2015-04-08,14:22:46,527629ff1a0ba0b97008fc9b
TRUE,TRUE,FALSE,2015-04-26,11:45:05,55388b1bca6da1d50b8b4a45
TRUE,FALSE,FALSE,2015-04-08,10:14:15,54a47c42086ea12b6b8b528c
TRUE,TRUE,TRUE,2015-04-26,10:22:03,553157bec76da13a558b4bb3
TRUE,FALSE,FALSE,2015-04-07,21:42:20,54df3f03180ba0542a8b47fd
TRUE,TRUE,TRUE,2015-04-08,15:00:57,548c21261a0ba0a85a8b4866
TRUE,TRUE,TRUE,2015-04-26,1:17:35,550b3d02c66da1485a8b477d
TRUE,FALSE,FALSE,2015-04-26,10:33:15,53c84ea3cb6da1dd7e8b4d55
TRUE,FALSE,FALSE,2015-04-08,10:30:12,54b245ed160ba0a9278b4a68
TRUE,FALSE,FALSE,2015-04-26,10:04:56,5415813d150ba0d05b8b4e38
TRUE,FALSE,TRUE,2015-04-26,11:33:56,552a69160a6ea1e18f8b4dd4
FALSE,TRUE,FALSE,2015-04-26,9:28:25,5534e4a40b6ea1ff618b4f0d
TRUE,TRUE,FALSE,2015-04-25,21:30:49,552b6669c46da13a788b4796
TRUE,FALSE,TRUE,2015-04-24,20:24:47,54c81d650b6ea1749c8b4bf6
TRUE,TRUE,TRUE,2015-04-06,15:59:11,54ea86211a0ba0da638b474a
TRUE,FALSE,TRUE,2015-04-26,15:02:47,53afe904170ba0505c8b4688
FALSE,TRUE,FALSE,2015-05-03,9:23:44,537f7e26cb6da1571c8b8024
TRUE,TRUE,FALSE,2015-04-03,19:07:41,54119f6d160ba008118b503f
FALSE,FALSE,TRUE,2015-04-26,10:32:36,551e85620a6ea1268d8b4d54
TRUE,FALSE,TRUE,2015-04-26,11:04:45,54a4506f1b0ba049278b4780
TRUE,FALSE,FALSE,2015-04-26,11:47:04,53137ba0160ba04b168b4d32
TRUE,TRUE,TRUE,2015-03-21,19:56:34,53efddcbcb6da1de998b45fc
TRUE,TRUE,FALSE,2015-04-08,15:28:46,551c20e1066ea1d35c8b4708
FALSE,FALSE,TRUE,2015-04-06,15:56:28,550f075a1c0ba0642e8b49df
FALSE,FALSE,TRUE,2015-04-25,15:54:14,53ac3bcd1a0ba0cc6d8b4d11
TRUE,TRUE,TRUE,2015-04-25,22:03:56,50f72bce6f37f3d37e000058
TRUE,FALSE,FALSE,2015-04-06,14:56:52,551dcef8190ba0dc0c8b4da1
TRUE,FALSE,TRUE,2015-04-26,11:04:52,5525ad66140ba01c5b8b496d
TRUE,TRUE,FALSE,2015-04-26,10:58:12,50e69181150ba0763200000e
FALSE,TRUE,FALSE,2015-04-08,15:19:24,55038f65c96da15c998b4a4c
TRUE,FALSE,FALSE,2015-04-06,15:10:37,54aa8e181c0ba069108b48df
TRUE,FALSE,TRUE,2015-04-26,8:04:51,552a48dde86da193318b45df
FALSE,FALSE,TRUE,2015-04-06,14:29:14,54e84423076ea1dc568b4d83
TRUE,FALSE,TRUE,2015-04-19,21:33:57,5529c16a1c0ba00e0a8b4b08
TRUE,FALSE,FALSE,2015-04-26,11:50:23,54c9c9abc86da1c82f8b4f44
TRUE,TRUE,TRUE,2015-04-24,16:00:56,54b1ddbf076ea17b518b4816
TRUE,FALSE,FALSE,2015-04-08,13:59:53,55104155076ea1f38c8b46a3
TRUE,TRUE,TRUE,2015-04-26,11:20:43,51fe675f1b0ba0d228fd8a65
FALSE,FALSE,TRUE,2015-04-06,14:55:00,53fa0a5be86da14d868b4937
TRUE,FALSE,FALSE,2015-04-26,0:27:47,551562aa086ea1768d8b456b
TRUE,TRUE,TRUE,2015-04-06,14:26:46,54e64c68076ea1965a8b4608
FALSE,FALSE,TRUE,2015-04-25,22:40:58,54a6c390c86da151248b4991
TRUE,FALSE,FALSE,2015-04-06,13:43:36,54fdc3491b0ba076578b469e
TRUE,FALSE,TRUE,2015-04-08,11:55:31,53c24087e86da1764c8b49d3
TRUE,FALSE,FALSE,2015-04-26,11:47:45,55380277c66da1264a8b47ef
FALSE,FALSE,TRUE,2015-04-08,11:19:53,51edbbf7150ba035065ca1ea
TRUE,FALSE,TRUE,2015-04-06,15:55:21,552275c6170ba0840f8b498a
FALSE,FALSE,TRUE,2015-04-26,16:40:40,5534dbe00a6ea1e6988b4ba8
TRUE,TRUE,TRUE,2015-04-26,10:04:18,553519ceec6da13b8c8b518e
