gender,genderLooking,age,name,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,userId,counts_details,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,counts_g,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,verified,shareProfileEnabled
F,M,25,daeni,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,55303fc3160ba0eb728b4575,1,4,8279,239,0,3,0,0,0,1,0,0,0,1,0,1
F,M,22,italiana 92,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,552e7b61c66da10d1e8b4c82,0.85,5,663,13,0,0,0,0,0,1,0,0,0,3,0,1
F,M,21,Lauraaa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54a584ecc56da128638b4674,0,4,1369,88,0,2,0,0,0,0,0,1,0,0,0,1
F,none,20,Qqkwmdowlo,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,54c92738076ea1b5338b4735,0.12,3,22187,1015,2,3,0,0,0,0,0,0,0,2,0,1
F,M,21,schaessie {3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54e1a6f6c76da135748b4a3a,0.15,12,35262,1413,9,12,0,0,0,0,0,1,0,1,0,1
F,M,24,Baby dee,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,54f2b4ce0b6ea1177e8b4d18,0.81,18,7339,180,0,2,0,0,0,1,0,1,0,2,0,1
F,none,24,Anna,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,54ecbb39170ba08b488b4aa5,0.65,13,18672,492,0,1,0,0,0,1,0,1,0,5,0,1
F,M,23,Feelinchen,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,54fc1786170ba041758b4577,0.81,6,19091,1348,0,20,0,0,0,1,0,0,0,2,0,0
F,M,20,chantal,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,550c8310066ea13f808b4b35,0.88,14,29984,2389,10,11,0,0,0,1,0,0,0,3,0,1
F,M,24,rina1990,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,53745af3150ba023158b4588,0.81,1,5979,147,1,2,0,0,0,0,0,1,0,2,0,1
F,M,22,anniwhat,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,53eb2d41ea6da1bb178b4aa0,0.54,3,10450,421,2,4,0,0,0,1,0,1,0,1,0,1
F,both,20,Pierrette,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5501ff6bcc6da1e21e8b45b5,0.92,5,2612,117,0,0,0,0,0,1,0,1,0,1,0,1
F,M,22,Nathalie,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54fa217d190ba0a1618b4668,0.73,22,31736,2102,6,8,0,0,0,1,0,1,0,1,1,1
F,M,20,brava ragazza,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54ce9b6d170ba0c7548b4bef,0.85,12,32450,787,10,3,0,0,0,1,0,0,0,1,1,0
F,M,22,Madeline,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,500aef252d15de2d6f00046e,0.96,4,1710,116,1,1,0,0,0,1,0,0,0,1,0,1
F,M,25,Lia,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54e238cdcb6da1706f8b4b44,0.58,13,26842,643,1,4,0,0,0,1,0,0,0,1,0,1
F,M,21,Vanessa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,53d7e6c8170ba055398b54ea,0.69,5,31020,1195,0,3,0,0,0,1,0,1,0,1,1,1
F,M,22,Je** 🌸,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,552e5bbd066ea1933e8b490b,1,2,20266,1148,0,4,0,0,0,1,0,0,0,1,0,0
F,M,20,Jey,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,55146fb7ea6da11d158b463a,0.04,4,16683,647,0,0,0,0,0,1,0,0,0,1,1,1
F,M,25,tina,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,503cbfc7ca61bea1590000bf,0.92,7,3413,86,0,1,0,0,0,1,0,0,0,1,0,1
F,M,19,mel,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,52dd7bd9c56da1966f61cfd3,0.81,13,8310,143,2,0,0,0,0,0,0,0,0,3,0,1
F,M,21,debora,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,550f31ca1c0ba0785b8b4a90,0.62,1,25903,982,0,12,0,0,0,1,0,1,0,1,0,1
F,M,21,MISHEffect,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,550db26a086ea18e4f8b4678,0.85,27,33018,812,36,5,0,0,0,1,0,0,0,1,1,1
F,M,22,rebekka1992,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54b8170ae96da129508b4b1a,0,15,2502,25,0,0,0,0,0,1,0,0,0,1,0,1
F,M,24,🍒SweeT_Cherry🍒,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,525aaeb8190ba0d743a9b637,0.19,5,22847,1282,63,7,0,0,0,1,0,0,0,4,1,1
F,none,21,JayJay,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,54ad5e03190ba0cb108b45d0,1,13,7407,125,0,0,0,0,0,1,0,0,0,3,0,1
F,both,19,ॐ Mish  Ganja-Girl ॐ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55336759076ea11d208b483c,0.88,30,16096,533,6,2,0,0,0,1,0,1,0,2,1,1
F,M,22,I_love_soccer,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5411f8c8180ba0184a8b4aac,0.88,9,15457,431,0,6,0,0,0,1,0,1,0,1,0,1
F,M,20,😊Nadine Jennifer 😊,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,552aa2c1ea6da1bd358b4851,1,18,6962,361,0,0,0,0,0,1,0,0,0,1,0,1
F,both,22,🌸Joya Tiffany🌸,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,550c6869160ba0f7318b4771,0.69,30,30863,1901,121,0,0,0,0,1,0,1,0,1,0,1
